data;selic
2012.03;10,3
2012.04;8,86
2012.05;9,25
2012.06;7,96
2012.07;8,47
2012.08;8,6
2012.09;6,68
2012.10;7,57
2012.11;6,8
2012.12;6,8
2013.01;7,44
2013.02;6,04
2013.03;6,8
2013.04;7,57
2013.05;7,44
2013.06;7,57
2013.07;8,99
2013.08;8,86
2013.09;8,86
2013.10;10,16
2013.11;8,99
2013.12;9,9
2014.01;10,69
2014.02;9,9
2014.03;9,64
2014.04;10,3
2014.05;10,95
2014.06;10,3
2014.07;12,01
2014.08;10,95
2014.09;11,48
2014.10;12,01
2014.11;10,56
2014.12;12,15
2015.01;11,88
2015.02;10,3
2015.03;13,22
2015.04;12,01
2015.05;12,55
2015.06;13,62
2015.07;15,12
2015.08;14,16
2015.09;14,16
2015.10;14,16
2015.11;13,49
2015.12;14,84
2016.01;13,49
2016.02;12,68
2016.03;14,84
2016.04;13,49
2016.05;14,16
2016.06;14,84
2016.07;14,16
2016.08;15,66
2016.09;14,16
2016.10;13,35
2016.11;13,22
2016.12;14,3
2017.01;13,89
2017.02;10,95
2017.03;13,35
2017.04;9,9
2017.05;11,75
2017.06;10,16
2017.07;10,03
2017.08;10,03
2017.09;7,96
2017.10;7,96
2017.11;7,06
2017.12;6,68
2018.01;7,19
2018.02;5,79
2018.03;6,55
2018.04;6,42
2018.05;6,42
2018.06;6,42
2018.07;6,68
2018.08;7,06
2018.09;5,79
2018.10;6,68
2018.11;6,04
2018.12;6,04
2019.01;6,68
2019.02;6,04
2019.03;5,79
2019.04;6,42
2019.05;6,68
2019.06;5,79
2019.07;7,06
2019.08;6,17
2019.09;5,66
2019.10;5,91
2019.11;4,66
2019.12;4,53
2020.01;4,66
2020.02;3,54
2020.03;4,16
2020.04;3,41
2020.05;2,92
2020.06;2,55
2020.07;2,3
2020.08;1,94
2020.09;1,94
2020.10;1,94
2020.11;1,81
2020.12;1,94
2021.01;1,81
2021.02;1,57
2021.03;2,43
2021.04;2,55
2021.05;3,29
2021.06;3,78
2021.07;4,41
2021.08;5,28
2021.09;5,41
2021.10;6,04
